義項id,詞目漢字,解說,對應義項id,對應詞目漢字,對應解說
,庄,田家村莊。,,村,山間或鄉野有人居住的地方。
,安土,埋葬、安葬。,,安葬,埋葬。把棺材放入墓穴裡，用土掩蓋起來。
,安土,埋葬、安葬。,,落葬,安葬。
,年久月深,久而久之、日積月累、經年累月。經歷過一段長久的時間。,,久來,久而久之。
,地方,區域、地區。,,地點,所在的地方。
,地方,區域、地區。,,角勢,地方、一帶。
,地方,區域、地區。,,所在,地方。
,好天,好天氣。晴朗、氣溫宜人，令人覺得舒爽。,,大晡日,出大太陽的好天氣。
,存心,心懷某種意念、居心。,,刁工,故意。
,存心,心懷某種意念、居心。,,刁故意,存心、故意。
,存心,心懷某種意念、居心。,,刁意故,故意、存心。
,存心,心懷某種意念、居心。,,存範,存心不良的念頭。
,如夫人,姨太太、妾。,,細姨,小老婆、姨太太。太太以外的小妾。
,地牛翻身,地震。由地球內部的變動所引起的地殼震動。,,地動,地震。由於火山爆發或地殼變動而引起地殼震動。
,地牛翻身,地震。由地球內部的變動所引起的地殼震動。,,塗牛翻身,由地球內部的變動所引起的地殼震動。
,地主,土地所有權人。,,田僑仔,擁有許多田地，靠地價暴漲而致富的土財主。
,好兄弟,孤魂野鬼、遊魂。,,老大公,孤魂野鬼。
,年冬,年分、年歲。,,天年,世道。社會的情態、狀況。
,奸巧,形容人心術不正，陰險狡猾。,,奸雄,奸詐、狡猾。
,奸巧,形容人心術不正，陰險狡猾。,,奸險,奸詐、陰險。
,奸巧,形容人心術不正，陰險狡猾。,,蹊蹺,狡滑。
,好年冬,豐年。指農作物豐收的年頭。,,豐年,指農作物豐收的年頭。
,地址,住址。居住或通信的地點。,,住址,地址。
,地址,住址。居住或通信的地點。,,住所,地址。
,年尾,年終、歲未。,,冬尾,殘冬。見【年尾】nî-bué 條。
,年尾,年終、歲未。,,年底,年尾、年終。一年的最後期間。
,年尾,年終、歲未。,,年兜,年尾、年跟腳。指年終歲暮將近過年的那幾天。
,好佳哉,幸虧、還好。,,佳哉,幸虧、好在。
,好佳哉,幸虧、還好。,,好得,幸虧、幸好、好在。
,字典,一種記載如何使用某種特定文字的工具書。以字為單位，按照一定的體例編目和排版，並對文字的形、音、義、用法及來源等等加以解釋。,,辭典,一種工具書。依據詞彙體系及一定的編輯體例，蒐集詞彙，並加以解釋，以備查索、參考。
,好奇,對於自己所不了解、新奇的事情感到興趣或去探查原由。,,好玄,好奇。對於自己所不了解的事，覺得新奇而感興趣或去探查原由。
,年底,年尾、年終。一年的最後期間。,,冬尾,殘冬。見【年尾】nî-bué 條。
,年底,年尾、年終。一年的最後期間。,,年尾,年終、歲未。
,年底,年尾、年終。一年的最後期間。,,年兜,年尾、年跟腳。指年終歲暮將近過年的那幾天。
,好空,好機會、好事情。,,利益,好處。
,好空,好機會、好事情。,,利頭,利益、好處。
,好客,指人的性格上喜愛熱情款待客人。,,慷交,慷慨好客，交遊廣闊。
,地界,區域、地盤。,,地盤,地頭。用特殊情勢所占據或控制的勢力範圍。
,年紀,年齡。,,年歲,年齡、年紀。
,年紀,年齡。,,歲頭,歲數、年齡。指年齡的大小。
,年紀,年齡。,,歲聲,年紀、年歲、歲數。指年齡的大小。
,年兜,年尾、年跟腳。指年終歲暮將近過年的那幾天。,,年尾,年終、歲未。
,年兜,年尾、年跟腳。指年終歲暮將近過年的那幾天。,,年底,年尾、年終。一年的最後期間。
,地動,地震。由於火山爆發或地殼變動而引起地殼震動。,,地牛翻身,地震。由地球內部的變動所引起的地殼震動。
,地動,地震。由於火山爆發或地殼變動而引起地殼震動。,,塗牛翻身,由地球內部的變動所引起的地殼震動。
,好彩頭,好預兆。,,吉兆,好預兆、吉祥的徵兆。
,安排,對人或事物做有條理地規劃和處理。,,推排,處置安排。
,地理,風水。,,風水,一種認為房屋或墳地的方向以及周圍的地脈、山勢、水流等能決定吉凶禍福的傳統見解。常用於興建房舍或埋葬死者。
,字眼,指字、詞。,,字目,文字、字眼。
,好喙,嘴巴甜。,,好頭喙,善於招呼人。
,好款,本義為脾氣好、教養好，現今常用在反諷，意思和「歹款」(pháinn-khuán)相同。,,有款,仗著受人寵溺而故意撒嬌、耍派頭。
,好量,指人有雅量，氣度寬大。,,有量,寬宏大量。指一個人的度量十分寬大。
,奸雄,奸詐、狡猾。,,奸巧,形容人心術不正，陰險狡猾。
,好勢,事情順利推演。,,順利,未遭到困難而完成。
,安搭,安撫。,,挲,安撫、打圓場、平息紛爭。
,年歲,年齡、年紀。,,年紀,年齡。
,年歲,年齡、年紀。,,歲頭,歲數、年齡。指年齡的大小。
,年歲,年齡、年紀。,,歲聲,年紀、年歲、歲數。指年齡的大小。
,字號,店名。商店的名號。,,店號,店名。商店的名稱。
,安葬,埋葬。把棺材放入墓穴裡，用土掩蓋起來。,,安土,埋葬、安葬。
,安葬,埋葬。把棺材放入墓穴裡，用土掩蓋起來。,,落葬,安葬。
,庄跤,鄉下。,,田庄,鄉下、鄉村。
,庄跤,鄉下。,,草地,鄉下。
,庄跤,鄉下。,,鄉村,農村、鄉下。鄉下的村落。
,庄跤,鄉下。,,農村,農民聚居的村落。
,尖跤幼手,指人手腳細嫩，不適合粗活。,,跤尖手幼,細皮嫩肉、玉手纖纖。
,好運,運氣好。,,幸運,好運氣。
,守暝,守夜。執守整個夜晚。,,顧更,守更、巡更。夜間負責巡守。
,好漢,男子漢。勇敢、有志氣、有擔當的男子。,,大丈夫,有志氣而且勇敢剛毅的男子。
,好漢,男子漢。勇敢、有志氣、有擔當的男子。,,男子漢,有大丈夫氣概的男子。
,好漢,男子漢。勇敢、有志氣、有擔當的男子。,,查埔囝,男子漢。有大丈夫氣概的人。
,好鼻獅,嗅覺靈敏的人。,,虎鼻師,用來指嗅覺很靈敏的人。
,地盤,地頭。用特殊情勢所占據或控制的勢力範圍。,,地界,區域、地盤。
,地盤,地頭。用特殊情勢所占據或控制的勢力範圍。,,地頭,地盤。指所占有的地盤或控制的勢力範圍。
,存範,存心不良的念頭。,,存心,心懷某種意念、居心。
,奸險,奸詐、陰險。,,奸巧,形容人心術不正，陰險狡猾。
,地頭,地盤。指所占有的地盤或控制的勢力範圍。,,地盤,地頭。用特殊情勢所占據或控制的勢力範圍。
,好膽,形容人有勇氣，有時也帶有負面的意味。,,在膽,膽子大、不畏怯。
,多謝,謝謝、感謝。,,勞力,感謝別人的客套話。
,多謝,謝謝、感謝。,,感恩,感謝他人所施予的恩惠。現在多為「謝謝」的替代語。
,多謝,謝謝、感謝。,,感謝,感激。受到他人的恩惠而表示謝意。
,多謝,謝謝、感謝。,,說謝,道謝。用言語表示謝意。
,地點,所在的地方。,,地方,區域、地區。
,地點,所在的地方。,,所在,地方。
,好額,富裕、富有。,,富裕,形容富足、充裕。
,好額人,有錢人。錢財充裕、生活富足的人。,,有錢人,富有的人。
,好額人,有錢人。錢財充裕、生活富足的人。,,財主,富翁。指有錢人。
,好額人,有錢人。錢財充裕、生活富足的人。,,富戶,有錢人家。
,尖鑽,鑽營。指巴結有權勢的人以達目的。,,軁鑽,鑽營、善於變通。
,尖鑽,鑽營。指巴結有權勢的人以達目的。,,鼻趖,只要有好處，就到處鑽營的樣子。
,扞,用手扶著。,,扶,攙。用手支持，使人、物不倒。
,扣,計算毛線或麵線的計量單位。,,股,計算繩線的單位。
,曲,歌的旋律。,,歌,配合曲調演唱詞句的曲樂。
,曲,歌的旋律。,,歌,配合曲調演唱詞句的曲樂。
,死,生命結束，沒有生命跡象。,,死亡,喪失生命。
,死,生命結束，沒有生命跡象。,,無命,失去性命，即死亡、死去、喪命。
,成人,成年人。,,大人,成年人。
,成人,成年人。,,成年,指人發育到已經成熟的年齡。
,死人面,指人表情惡劣、臉色難看。,,凊面,冷漠不親切的表情。凶惡、憤怒或難看的臉色。
,收山,結束。總結，終了。,,收尾,收場結尾、結束、善後。
,收山,結束。總結，終了。,,收場,指一件事情的結局，或者一個人的下場。
,收山,結束。總結，終了。,,煞尾,收尾、終止。
,收山,結束。總結，終了。,,收煞,收場。
,收工,結束工作。,,落工,工作時間到，離開工作岡位。
,死亡,喪失生命。,,死,生命結束，沒有生命跡象。
,死亡,喪失生命。,,往生,去世、死亡。佛教指死後投生叫做「往生」。
,死亡,喪失生命。,,棄世,去世、逝世。
,死亡,喪失生命。,,過身,過世、逝世、死亡。
,死亡,喪失生命。,,過往,死亡、過世。
,早日,從前。,,以前,指早於某一段時間之前的時間。
,早日,從前。,,進前,以前、從前。
,早日,從前。,,較早,以往、以前。
,早日,提早。比預定的時程早。,,冗早,趁早、及早、提早。
,早日,提早。比預定的時程早。,,較早,早一點、提早。
,早冬,臺灣的稻作一年兩收，「早冬」即第一期的稻作。,,六月冬,夏稻、夏穫。夏季收穫的農作物、第一期稻作所收成的農作物。
,曲去,過世、往生。「曲去」屬於較為俚俗的說法。,,死殗殗,死翹翹、往生。屬於較為俚俗的說法。
,曲去,過世、往生。「曲去」屬於較為俚俗的說法。,,無命,失去性命，即死亡、死去、喪命。
,死目,眼拙。指人眼力差。,,柴目,眼拙。
,死囡仔,臭小子、死孩子。咒罵小孩的用語。,,猴死囡仔,兔崽子、搗蛋鬼，咒罵頑皮搗蛋的小孩子。
,死囡仔脯,死小孩。用來咒罵小孩的用語。,,猴死囡仔,兔崽子、搗蛋鬼，咒罵頑皮搗蛋的小孩子。
,成年,指人發育到已經成熟的年齡。,,成人,成年人。
,收尾,收場結尾、結束、善後。,,收山,結束。總結，終了。
,收尾,收場結尾、結束、善後。,,收場,指一件事情的結局，或者一個人的下場。
,收尾,收場結尾、結束、善後。,,尾聲,原指樂曲或套曲中的最後一樂章。現多用來指活動或事情快要結束的階段。
,收尾,收場結尾、結束、善後。,,煞尾,收尾、終止。
,收尾,收場結尾、結束、善後。,,收煞,收場。
,收尾,收場結尾、結束、善後。,,帕尾,善後。事故發生後妥善處理遺留下的問題。
,有身,懷孕。,,大腹肚,懷孕。
,有身,懷孕。,,懷胎,懷孕。
,扣押,法院以強制的力量拘留嫌疑犯或扣留證物、贓物。,,扣留,扣押。法院以強制的力量拘留嫌疑犯或扣留證物、贓物。
,扣押,法院以強制的力量拘留嫌疑犯或扣留證物、贓物。,,拘留,拘禁扣留或是專指法律上因為觸法而被暫時性的拘押。
,死板,古板、刻板。僵化不知變通。,,古板,死板。作風保守、固執不知變通。
,死板,古板、刻板。僵化不知變通。,,柴頭,呆板。形容一個人木訥、不解風情。
,收泔,利用開大火或靜置的方式，將稀飯中的水分減少。,,遏泔,以湯瓢壓住米粒或湯料，倒出湯汁。
,成物,像樣。,,成樣,形容人經訓練或材料經處理之後成某規格之才能或樣貌。
,收拾,將散亂的東西收集整理、整頓好。,,整理,收拾。使事物有條理秩序。
,死泉,死水。停聚不流通的水，非活水湧出的水泉。,,死窟仔水,死水。停聚而不能流通的水。
,扞家,主持家務，養家活口。,,理家,持家。操持家務。
,早起時仔,早上。,,下早仔,早上。
,早起時仔,早上。,,早起,早上、早晨。
,有時仔,有時候、偶爾。,,有時陣,有時候、偶爾。
,有時仔,有時候、偶爾。,,有當時仔,偶爾、有時候。
,有時仔,有時候、偶爾。,,有時,有時候。
,有時仔,有時候、偶爾。,,三時有陣,偶爾，不是常有的。
,有時有陣,偶爾、非經常性。,,三時有陣,偶爾，不是常有的。
,有時陣,有時候、偶爾。,,有時仔,有時候、偶爾。
,有時陣,有時候、偶爾。,,有當時仔,偶爾、有時候。
,有時陣,有時候、偶爾。,,有時,有時候。
,有時陣,有時候、偶爾。,,三時有陣,偶爾，不是常有的。
,早晏,早晚。早晨與晚間。,,早暗,早晚。早晨與晚間。
,扣留,扣押。法院以強制的力量拘留嫌疑犯或扣留證物、贓物。,,扣押,法院以強制的力量拘留嫌疑犯或扣留證物、贓物。
,扣留,扣押。法院以強制的力量拘留嫌疑犯或扣留證物、贓物。,,拘留,拘禁扣留或是專指法律上因為觸法而被暫時性的拘押。
,曲痀,駝背。指先天性遺傳或後天的姿勢不正確所造成背部彎拱的現象。,,隱痀,駝背。背部因為脊椎等病變而變形彎拱。
,曲痀,駝背。指先天性遺傳或後天的姿勢不正確所造成背部彎拱的現象。,,錦痀,駝背。形容（人或雞等）脖子前伸且背部彎拱的樣子。
,早起,早上、早晨。,,上午,清晨到中午之間。
,早起,早上、早晨。,,下早仔,早上。
,早起,早上、早晨。,,早起時仔,早上。
,早起,早上、早晨。,,頂晡,早上、上午。
,早起,早餐。,,早起頓,早餐、早飯。
,早起,早餐。,,早頓,早餐。
,早起頓,早餐、早飯。,,早起,早餐。
,早起頓,早餐、早飯。,,早頓,早餐。
,有夠,很、非常。,,誠,很、非常。
,有通,行得通、可行的。,,會使,可以、能夠。
,有通,行得通、可行的。,,會使得,可以、可行。人、東西可以使用或是事情行得通。語氣完結時唸作ē-sái--tit。
,收場,指一件事情的結局，或者一個人的下場。,,收山,結束。總結，終了。
,收場,指一件事情的結局，或者一個人的下場。,,收尾,收場結尾、結束、善後。
,成就,成功、成果。多指事業上獲得優良的成績。,,成績,成果、績效。工作或學業上所獲得的成果。
,有款,仗著受人寵溺而故意撒嬌、耍派頭。,,歹款,壞習慣。不懂禮教，多指吃東西的習慣或行為不好。
,有款,仗著受人寵溺而故意撒嬌、耍派頭。,,好款,本義為脾氣好、教養好，現今常用在反諷，意思和「歹款」(pháinn-khuán)相同。
,有款,仗著受人寵溺而故意撒嬌、耍派頭。,,毋是款,不像話。不懂禮教，多指吃東西的習慣或行為不好。
,有量,寬宏大量。指一個人的度量十分寬大。,,好量,指人有雅量，氣度寬大。
,早暗,早晚。早晨與晚間。,,早晏,早晚。早晨與晚間。
,有當時仔,偶爾、有時候。,,有時仔,有時候、偶爾。
,有當時仔,偶爾、有時候。,,有時陣,有時候、偶爾。
,有當時仔,偶爾、有時候。,,有時,有時候。
,有當時仔,偶爾、有時候。,,三時有陣,偶爾，不是常有的。
,死窟仔水,死水。停聚而不能流通的水。,,死泉,死水。停聚不流通的水，非活水湧出的水泉。
,有聖,指神明靈驗。,,靈聖,靈驗。
,死路,不能通行的路。,,無路,沒有路、無路可通。
,死路,不能通行的路。,,絕路,死路，走不通的路。
,死路,比喻死亡之路。,,絕路,死路，走不通的路。
,有路用,有用處、有益處。,,中用,物品很好使用，容易使用。
,死路旁,死在路邊，是詛咒別人慘遭橫死的一種說法。,,路旁屍,以棄置在路邊的死屍來咒罵人的用語。
,早頓,早餐。,,早起,早餐。
,早頓,早餐。,,早起頓,早餐、早飯。
,早慢,遲早。指不拘時間快慢，一定會發生。,,緊慢,遲早、早晚。指不拘時間快慢，一定會發生。
,早慢,遲早。指不拘時間快慢，一定會發生。,,緊縒慢,遲早、早晚。字面意思是「較快與較慢之差」，指某事早晚總會發生。
,死趖,動作遲鈍不活潑，做事情慢吞吞。,,慢死趖,慢吞吞。形容動作緩慢，拖泥帶水。
,死趖,動作遲鈍不活潑，做事情慢吞吞。,,慢鈍,遲鈍、慢吞吞。
,有影,真實不虛的。,,真正,真實、確實。
,有影,真實不虛的。,,真誠,非常、實在。
,有影,真實不虛的。,,誠實,真實的、真的。
,有影,真實不虛的。,,實在,真實的、實際的。
,扞數,管理帳務。,,理財,治理財政、管理財務。
,扞數,管理帳務。,,管數,管帳。管理金錢進出的帳目。
,成親,結婚、成婚。男女嫁娶，成為夫婦。,,結合,彼此相聯合。通常用來指男女雙方聯姻。
,成親,結婚、成婚。男女嫁娶，成為夫婦。,,嫁娶,男婚女嫁之事。結婚。
,死賴人,指不肯承擔責任，硬要賴給別人。,,哭賴,哭鬧著耍賴。
,有錢人,富有的人。,,好額人,有錢人。錢財充裕、生活富足的人。
,有錢人,富有的人。,,財主,富翁。指有錢人。
,有錢人,富有的人。,,富戶,有錢人家。
,有應公,無主孤魂。也就是孤魂野鬼，大多為凶死而不知其籍貫姓名或沒有後嗣的枯骨。常就地掩埋並建小祠供人祭拜。,,應公仔,在墓場的某處發現的無主骨灰，供起來參拜的對象。
,有應公,無主孤魂。也就是孤魂野鬼，大多為凶死而不知其籍貫姓名或沒有後嗣的枯骨。常就地掩埋並建小祠供人祭拜。,,大墓公,泛指義塚及收埋於其中，受到地方民眾祭祀的無主孤魂。
,成績,成果、績效。工作或學業上所獲得的成果。,,成就,成功、成果。多指事業上獲得優良的成績。
,收驚,指小孩子或大人受到驚嚇，魂魄離開軀體，所以請道士或收驚婆做法，將魂魄收回來。,,收煞,驅煞。
,羊,哺乳動物。如綿羊、山羊、羚羊等。皮、毛、角、骨都具利用價值，肉、乳可供人食用。十二生肖排序第八的生肖。,,羊仔,羊、小羊。
,老,熟練、經驗豐富。,,滑溜,說話流利順暢的樣子。
,老,指老人去世，是一種委婉的說法。,,無去,去世、死了。
,耳,耳朵。對整個耳朵(包含內耳、外耳)的統稱。,,耳仔,耳朵。
,舌,口腔內識別味道及發音的器官。,,喙舌,舌頭。口腔裡頭具有攝食、分辨滋味、協助發音、咀嚼等功能的器官。
,行,職業的類別。,,途,行業、職業。
,行,職業的類別。,,業,社會上的各種工作職務。
,行,職業的類別。,,職,工作事務。
,老人,老年人。,,老大人,老人家。高齡的長者。
,老人,老年人。,,老公仔,老人、老翁。
,老人,老年人。,,老歲仔,指稱年長者的說法，通常帶有輕蔑的意味。
,老人目,老花眼。,,目花,老花眼。因水晶體彈性減弱，調度力減退所引起的視力不良。
,老大,江湖幫會或團體中的首領。,,頭兄,首腦人物。
,自己,本身。,,家己,自己、本身。
,自己,本身。,,親身,親自。
,老大人,老人家。高齡的長者。,,老人,老年人。
,老大人,老人家。高齡的長者。,,老公仔,老人、老翁。
,老大人,老人家。高齡的長者。,,老歲仔,指稱年長者的說法，通常帶有輕蔑的意味。
,老大公,孤魂野鬼。,,好兄弟,孤魂野鬼、遊魂。
,肉丸仔,泛指所有用獸肉做成的丸子。,,貢丸,一種食品。把整條的豬肉捶打成肉泥，加入鹽、味精等調味料後做成丸狀。一般做湯料。
,老公仔,老人、老翁。,,老人,老年人。
,老公仔,老人、老翁。,,老大人,老人家。高齡的長者。
,老公仔,老人、老翁。,,老歲仔,指稱年長者的說法，通常帶有輕蔑的意味。
,至少,最少、最低限度。,,起碼,至少。
,至少,最少、最低限度。,,上無,至少、起碼。
,羊仔,羊、小羊。,,羊,哺乳動物。如綿羊、山羊、羚羊等。皮、毛、角、骨都具利用價值，肉、乳可供人食用。十二生肖排序第八的生肖。
,耳仔,耳朵。,,耳,耳朵。對整個耳朵(包含內耳、外耳)的統稱。
,老去,逝世、去世。是對「死」(sí)字的諱稱，用在年長者逝世時的一種說辭。,,無去,去世、死了。
,老去,逝世、去世。是對「死」(sí)字的諱稱，用在年長者逝世時的一種說辭。,,過身,過世、逝世、死亡。
,老去,逝世、去世。是對「死」(sí)字的諱稱，用在年長者逝世時的一種說辭。,,顧山,指人去世死亡。
,肉包,內包肉餡的包子。,,包仔,包子。用麵皮包餡，蒸熟可吃的食品。
,老本,留待養老的錢財或物資。,,棺柴本,棺材本、養老金。買棺材的錢，泛指養老的錢財或物資。
,老母,稱謂。向他人稱呼自己的母親。或稱他人的母親。,,阿母,稱謂。媽媽、母親，通常用來當作「面稱」的詞彙。
,老母,稱謂。向他人稱呼自己的母親。或稱他人的母親。,,阿娘,稱謂。媽媽、母親，通常用來當作「面稱」的詞彙。舊時的叫法。
,老母,稱謂。向他人稱呼自己的母親。或稱他人的母親。,,娘,古時用來稱呼母親。
,老母,稱謂。向他人稱呼自己的母親。或稱他人的母親。,,娘嬭,母親、媽媽。
,老母,稱謂。向他人稱呼自己的母親。或稱他人的母親。,,媽媽,稱謂。對母親的稱呼。借自華語。
,老母,稱謂。向他人稱呼自己的母親。或稱他人的母親。,,母仔,媽媽、母親。
,耳扒仔,耳挖子。掏耳垢的小用具。,,鉤耳,耳挖子。掏耳垢的用具。
,自作自受,自己做錯事或者講錯話，由自己承擔後果。,,做得來,自己招惹、自作自受。
,肉豆,扁豆、沿籬豆、蛾眉豆。豆類。莢果扁平略弓曲，有紅、白兩種花系，可供食用。,,扁豆,皇帝豆、扁豆。豆類。莖蔓生，葉互生，有長柄，開白色或紫色花，莢果呈新月形，內含黑色或白色種子，可食用。豆粒極大，風味絕佳，居豆類之冠。
,自來水,見【水道水】tsuí-tō-tsuí 條。,,水道水,自來水。
,考卷,考試的時候，學生據以答題的卷子。,,考試單,考卷。考試的時候，學生據以答題的卷子。
,老姑婆,老處女。謔稱年紀大而未出嫁的女人，但有性別歧視之虞，應避免使用。,,在室女,處女、閨女。未出嫁的女子。
,自底,原本。,,原底,原本、原先。
,肉拊,肉鬆。用肉類加工乾而鬆散的食品，乾而鬆散。,,肉酥,肉鬆。用肉類焙乾製成的碎末狀乾而鬆的食品。
,竹披仔,用竹子編織成的盤形竹器。,,披仔,寬而平的竹編用具。
,老板,舊稱商店主人，現在泛指工商企業、公司行號的產權所有人。,,店頭家,店主、店東、老闆。
,老板,舊稱商店主人，現在泛指工商企業、公司行號的產權所有人。,,頭家,老闆、僱主。
,老爸,父親。稱謂。子女對他人稱呼生養自己的男子。或稱他人的父親。,,爸,爸、爹。稱謂。子女對父親當面的稱呼。
,老爸,父親。稱謂。子女對他人稱呼生養自己的男子。或稱他人的父親。,,爸,父、爹。稱謂。子女提到父親的表述。
,老爸,父親。稱謂。子女對他人稱呼生養自己的男子。或稱他人的父親。,,阿爸,爸爸。稱謂。子女對父親的稱呼。
,老爸,父親。稱謂。子女對他人稱呼生養自己的男子。或稱他人的父親。,,阿爹,爸爸。稱謂。子女對父親的稱呼。舊時的叫法。
,老爸,父親。稱謂。子女對他人稱呼生養自己的男子。或稱他人的父親。,,爹,爸爸、父親。稱謂。
,老爸,父親。稱謂。子女對他人稱呼生養自己的男子。或稱他人的父親。,,爸仔,對父親的面稱或直稱。
,耳空鬼仔,鼓膜。位於外耳和中耳間的傳音膜。,,耳鏡,鼓膜。外耳與中耳間的薄膜。
,行郊,批發商、進出口商。,,郊,舊時批發商、進出口商基於共同利益所組成的同業公會組織。引申指批發商、進出口商。
,老師,對傳授學問或技藝者的尊稱。,,先生,教師。
,羊眩,癲癇。一種反覆出現陣發性的疾病。有時患者會突然昏倒，出現咬牙、口吐白沫、四肢抽搐等症狀。,,豬母癲,癲癇。一種反覆出現陣發性的疾病。有時患者會突然昏倒，出現咬牙、口吐白沫、四肢抽搐等症狀。
,肉砧,專供烹飪，切割肉類的砧板。也引申作遭受凌辱、欺負的對象。,,刀砧,砧板。切割魚肉或蔬果時所墊的板子。
,肉砧,專供烹飪，切割肉類的砧板。也引申作遭受凌辱、欺負的對象。,,菜砧,砧板。以刀切食材時，墊在下面的板子。
,米酒,用糯米或者是其他米釀製而成的酒。,,幌頭仔,米酒。用米釀製成的酒。
,肉乾,烘乾加工處理的肉製品。,,肉脯,肉干。用肉類焙乾製造而成的片狀食品。
,灰匙仔,泥水匠用來塗牆的工具，一般有抹刀、灰匙兩種；抹刀比較大，用來處理初步的工序，而灰匙是用來做細部的處理。,,抹刀,灰匙、抹子。泥水匠塗抹水泥時所用的工具。
,肉脯,肉干。用肉類焙乾製造而成的片狀食品。,,肉乾,烘乾加工處理的肉製品。
,肉豉仔,絞肉、碎肉、肉醬。,,肉燥,將五花肉絞成碎泥，與蔥、香菇等食材拌炒後，加入醬油熬煮，大都用來拌入麵或飯的食物。
,肉魚仔,刺鯧、瓜子鯧。魚類。體型短而扁，體色呈淺灰藍色，鰓蓋上有一模糊黑斑，體長可達三十公分，是一種常見的食用魚。,,肉鯽仔,刺鯧、瓜子鯧。魚類。體型短而扁，體色呈淺灰藍色，鰓蓋上有一模糊黑斑，體長可達三十公分，是一種常見的食用魚。
,自然,天然，沒有經過人為加工的。,,天然,自然形成、天生的，不是人為的。
,竹筍,竹子地下莖所生的嫩芽。可供食用，亦可入藥，有消渴、利尿的療效。,,筍,竹子的地下莖生出的嫩芽，可食用。
,竹筍,竹子地下莖所生的嫩芽。可供食用，亦可入藥，有消渴、利尿的療效。,,筍仔,筍子。
,竹筒,將竹子橫截成段，節和節之間中空的部分，可以用來盛裝物品，所以稱為「竹筒」。,,竹管,竹筒。
,血筋,血管。動物體內運輸血液的管道。有動脈、靜脈、微血管三種。,,血管,動物體內血液循環流通的管道。
,血筋,血管。動物體內運輸血液的管道。有動脈、靜脈、微血管三種。,,紅筋,血管。動物體內血液循環流通的管道，有動脈、靜脈、微血管三種。
,血筋,血管。動物體內運輸血液的管道。有動脈、靜脈、微血管三種。,,青筋,靜脈。皮膚下顏色較暗的靜脈血管。
,肉酥,肉鬆。用肉類焙乾製成的碎末狀乾而鬆的食品。,,肉拊,肉鬆。用肉類加工乾而鬆散的食品，乾而鬆散。
,老歲仔,指稱年長者的說法，通常帶有輕蔑的意味。,,老人,老年人。
,老歲仔,指稱年長者的說法，通常帶有輕蔑的意味。,,老大人,老人家。高齡的長者。
,老歲仔,指稱年長者的說法，通常帶有輕蔑的意味。,,老公仔,老人、老翁。
,行經,指女性月經來潮。,,來洗,指女性月經來潮。
,考試,出試題測驗考生學習的程度或能力。,,測驗,考驗、考試。
,耳鉤,耳環。,,耳環,見【耳鉤】hīnn-kau 條。
,老實,指人誠實不虛偽、正直。,,古意,忠厚、老實、憨厚。
,老實,指人誠實不虛偽、正直。,,忠厚,老實。形容人的品性忠實寬厚。
,竹管,竹筒。,,竹筒,將竹子橫截成段，節和節之間中空的部分，可以用來盛裝物品，所以稱為「竹筒」。
,血管,動物體內血液循環流通的管道。,,血筋,血管。動物體內運輸血液的管道。有動脈、靜脈、微血管三種。
,血管,動物體內血液循環流通的管道。,,紅筋,血管。動物體內血液循環流通的管道，有動脈、靜脈、微血管三種。
,血管,動物體內血液循環流通的管道。,,青筋,靜脈。皮膚下顏色較暗的靜脈血管。
,肉粽節,端午節、五月節。與春節、中秋節並列為民間三大傳統節日之一。有吃粽子和龍舟競渡等風俗，也有插蒲艾、喝雄黃酒、掛鍾馗像來除瘟辟邪。,,五日節,端午節。農曆五月初五。與春節、中秋節並列為民間三大傳統節日。有吃粽子和龍舟競渡等風俗，也會插蒲艾、喝雄黃酒、掛鍾馗像來除瘟辟邪。
,肉粽節,端午節、五月節。與春節、中秋節並列為民間三大傳統節日之一。有吃粽子和龍舟競渡等風俗，也有插蒲艾、喝雄黃酒、掛鍾馗像來除瘟辟邪。,,五月節,端午節。農曆五月初五。與春節、中秋節並列為民間三大傳統節日。有吃粽子和龍舟競渡等風俗，也會插蒲艾、喝雄黃酒、掛鍾馗像來除瘟辟邪。
,老練,形容做事手法好，經驗豐富。,,貫串,擅長、精通。
,米篩,篩米用的篩子。一種用來篩選米粒的器具，用竹篾編成，有許多小孔，可使細碎物漏下去，而完整的米粒留在竹器上。,,篩仔,篩子。一種竹片、鐵絲編成的過濾器具。有許多小孔，可使細碎物漏下去，而將較粗成塊的留在上面。
,米糕𣻸,糾纏不清，如米糕一樣濕黏。,,膏膏纏,胡攪蠻纏。不講道理的任意糾纏別人。
,米糕𣻸,糾纏不清，如米糕一樣濕黏。,,纓纏,糾纏不清。
,米糕𣻸,糾纏不清，如米糕一樣濕黏。,,交纏,指人死後陰魂糾纏不清。也指人際關係、疾病事物等糾纏煩擾不休。
,至親,血緣關係最近的人。,,骨肉,指父母、兄弟、子女等至親。
,至親,血緣關係最近的人。,,親骨肉,至親。父母兄弟等親人。
,自頭,從頭。自起初開始。,,起頭,起初、開頭。
,自頭,從頭。自起初開始。,,頭先,起初、起先。在時間或事情流程上比較早的。
,自頭,從頭。自起初開始。,,頭起先,起初、剛開始。
,自頭,從頭。自起初開始。,,起基,當初。
,耳環,見【耳鉤】hīnn-kau 條。,,耳鉤,耳環。
,竹篾仔,竹篾。薄而狹長的細竹片，可用以編製竹簍、竹籃等。,,篾仔,竹篾。薄竹片，可以用來編製竹簍、竹籃等器具。
